,rating_diff,duration (seconds),avg_time_per_move,opponent_rating,time_from_the_last_game,player_color,player_result
193,-29,893.0,15.235135135135137,1222,1240.75,black,Loss
194,25,1048.0,7.59516129032258,1176,3401.366666666667,black,Win
195,5,327.0,11.273333333333335,1204,1397.0,white,Win
196,17,538.0,10.606666666666666,1200,0.8,white,Win
197,26,844.0,9.379661016949152,1199,1582.8666666666666,black,Win
198,-23,532.0,16.222727272727273,1240,1467.4166666666667,black,Loss
199,-3,1056.0,10.027118644067796,1212,0.1,white,Loss
200,21,608.0,12.396153846153847,1196,614.05,white,Win
201,24,1208.0,14.5475,1201,2.333333333333333,black,Win
202,-35,1094.0,9.132307692307691,1252,777.55,black,Loss
203,-32,1037.0,9.358490566037736,1241,856.1166666666667,white,Loss
204,-24,1008.0,14.732499999999998,1225,194.61666666666667,black,Loss
205,5,450.0,13.755999999999998,1188,1.6833333333333331,white,Loss
206,-2,980.0,9.246875000000005,1203,4.566666666666666,black,Win
207,-20,778.0,8.906060606060606,1213,291.95,black,Loss
208,33,1098.0,15.035897435897438,1168,1383.3333333333333,white,Win
209,-31,776.0,13.096774193548388,1224,1465.3333333333333,white,Loss
210,7,365.0,10.052173913043475,1194,2700.55,white,Win
211,-9,1103.0,17.33529411764706,1202,4.916666666666667,black,Loss
212,-5,934.0,13.983333333333333,1207,1471.65,black,Win
213,24,651.0,18.840909090909093,1186,9.033333333333331,white,Win
214,-5,980.0,18.67407407407408,1224,1247.4333333333334,white,Win
215,-7,796.0,14.599999999999998,1218,939.4,white,Loss
216,13,884.0,8.068852459016393,1206,231.2,black,Win
217,-18,902.0,18.05862068965517,1229,151.91666666666666,black,Loss
218,5,810.0,17.6,1198,0.1166666666666666,black,Loss
219,9,608.0,6.527450980392157,1202,1440.1,white,Win
220,-4,1135.0,17.04848484848485,1223,7.15,black,Win
221,12,831.0,18.35,1215,183.1833333333333,white,Win
222,30,992.0,12.541463414634144,1205,172.33333333333334,black,Win
223,12,729.0,19.196153846153848,1231,528.2333333333333,white,Win
224,-32,707.0,14.013043478260869,1267,4.683333333333334,black,Loss
225,-31,1230.0,10.275862068965518,1258,601.3666666666667,black,Loss
226,23,931.0,8.2875,1212,1449.0833333333333,white,Win
227,39,907.0,13.26341463414634,1203,99.48333333333332,white,Win
228,27,512.0,13.98235294117647,1223,1.2333333333333334,black,Win
229,-31,948.0,14.4575,1273,2984.3,white,Loss
230,-1,992.0,12.102702702702704,1243,632.1833333333333,black,Draw
231,12,474.0,14.375000000000004,1238,0.35,white,Win
232,-4,151.0,11.839999999999986,1246,504.9,black,Loss
233,9,1139.0,13.166666666666664,1241,0.55,white,Win
234,-18,1200.0,12.466666666666669,1260,2834.233333333333,white,Loss
235,-12,1144.0,15.439473684210524,1246,1456.1333333333334,white,Loss
236,1,339.0,13.333333333333336,1241,1619.0,black,Win
237,5,371.0,11.34736842105263,1229,2.6333333333333333,black,Loss
238,37,391.0,14.125,1204,6.783333333333333,white,Win
239,2,347.0,11.835294117647058,1247,771.4166666666666,black,Win
240,5,917.0,7.928169014084508,1235,418.95,white,Loss
241,-19,865.0,10.830555555555556,1251,1.2666666666666666,black,Loss
242,4,1085.0,9.30408163265306,1236,109.31666666666666,white,Win
243,20,1146.0,5.703225806451613,1219,3.6666666666666665,black,Draw
244,-3,790.0,16.696296296296296,1234,6.416666666666667,black,Loss
245,-26,749.0,8.56829268292683,1249,0.5166666666666667,white,Loss
246,-4,482.0,13.945,1219,1181.1166666666666,white,Loss
247,12,429.0,10.266666666666667,1211,0.6666666666666666,black,Win
248,0,857.0,12.76842105263158,1231,104.28333333333332,black,Win
249,6,930.0,10.343478260869569,1225,20.75,white,Draw
250,0,356.0,12.2,1239,0.1333333333333333,white,Win
251,5,331.0,13.507142857142858,1242,1145.5833333333333,white,Win
252,4,1156.0,9.3046875,1234,0.4833333333333333,black,Loss
253,-24,172.0,3.476470588235289,1254,1.9166666666666667,black,Loss
254,-4,1155.0,8.575862068965519,1243,0.2166666666666666,white,Win
255,-8,399.0,12.159090909090908,1239,109.31666666666666,white,Loss
256,15,97.0,3.490909090909089,1224,0.1,black,Win
257,37,1194.0,16.342857142857138,1209,0.0833333333333333,black,Win
258,-13,1222.0,8.168493150684933,1251,139.06666666666666,black,Loss
259,26,627.0,13.052173913043475,1220,598.75,white,Win
260,-29,759.0,12.1047619047619,1267,39.68333333333333,black,Loss
261,-38,1185.0,13.804651162790698,1269,60.016666666666666,black,Loss
262,-7,687.0,12.157575757575756,1230,1.0166666666666666,white,Loss
263,-32,473.0,6.290243902439024,1247,0.1,white,Loss
264,-22,874.0,12.267391304347823,1229,300.01666666666665,black,Loss
265,-39,664.0,21.13,1239,0.9166666666666666,white,Loss
266,9,1174.0,10.973999999999998,1199,1065.65,black,Win
267,-2,1114.0,6.866666666666668,1202,1.75,white,Loss
268,26,61.0,3.800000000000005,1182,637.0166666666667,white,Win
269,-16,358.0,7.906666666666666,1216,0.95,black,Loss
270,33,1021.0,8.698,1175,0.2,black,Win
271,2,192.0,15.887499999999996,1214,1244.9666666666667,white,Win
272,13,894.0,10.848648648648648,1211,3.1,black,Win
273,17,363.0,12.080000000000002,1215,174.51666666666668,white,Win
274,3,902.0,14.482926829268292,1221,2750.083333333333,white,Loss
275,0,49.0,6.433333333333319,1232,1419.2,black,Win
276,23,278.0,14.881818181818176,1217,0.35,white,Win
277,-7,363.0,12.925,1256,1.6333333333333333,black,Win
278,17,1009.0,6.812162162162164,1232,84.71666666666667,white,Draw
279,4,659.0,8.823076923076924,1253,1.65,black,Win
280,-38,999.0,12.308108108108108,1287,55.333333333333336,white,Loss
281,-10,1134.0,12.76086956521739,1251,1.4333333333333331,black,Loss
282,-28,744.0,10.884444444444444,1261,0.85,white,Loss
283,-39,652.0,17.473913043478266,1265,1298.3666666666666,black,Loss
284,-31,916.0,12.34722222222222,1249,2783.0666666666666,white,Loss
285,-15,792.0,9.377777777777778,1225,2.8666666666666667,black,Loss
286,3,234.0,8.116666666666667,1215,78.05,black,Win
287,4,399.0,8.495999999999999,1222,0.1333333333333333,white,Win
288,27,804.0,14.63684210526316,1207,1278.0,white,Win
289,5,789.0,10.858064516129032,1237,0.7333333333333333,white,Win
290,-36,979.0,10.763636363636362,1270,144.6,black,Loss
291,9,520.0,14.018181818181818,1225,1239.1166666666666,black,Draw
292,-18,950.0,6.915189873417721,1244,0.15,black,Loss
293,23,727.0,8.423529411764706,1211,186.3,white,Win
294,33,300.0,13.14615384615385,1209,1314.3166666666666,black,Win
295,-27,660.0,8.651162790697676,1261,2.75,white,Loss
296,-4,354.0,11.905555555555557,1230,0.4333333333333333,white,Loss
297,4,769.0,9.74090909090909,1213,0.4833333333333333,white,Loss
298,36,582.0,11.595,1188,907.2666666666668,black,Win
299,37,932.0,7.653333333333333,1194,390.01666666666665,white,Win
300,35,854.0,11.413999999999998,1195,0.1333333333333333,black,Draw
301,25,587.0,13.82380952380952,1213,19.166666666666668,white,Win
302,29,651.0,11.6551724137931,1217,136.98333333333332,white,Win
303,-32,943.0,9.435185185185183,1270,1.5,black,Loss
304,-29,1048.0,10.699999999999996,1259,1.95,white,Loss
305,5,1226.0,10.005084745762714,1217,641.6833333333333,black,Loss
306,11,394.0,8.680769230769231,1219,148.63333333333333,white,Win
307,4,1234.0,7.872972972972971,1226,95.0,white,Draw
308,-36,589.0,15.981818181818182,1258,45.8,black,Loss
309,-4,343.0,10.735000000000005,1234,1039.5,black,Win
310,-36,779.0,12.179166666666667,1258,279.6,black,Loss
311,33,1113.0,16.845161290322576,1197,0.2833333333333333,white,Win
312,16,703.0,16.073913043478264,1222,312.0,black,Win
313,-13,818.0,12.4775,1243,1421.4166666666667,white,Loss
314,-17,1167.0,7.743243243243243,1247,53.63333333333333,white,Draw
315,-9,1005.0,9.065573770491808,1239,160.8,black,Draw
316,33,952.0,9.174468085106383,1205,1984.7,white,Win
317,7,766.0,12.99090909090909,1231,22.416666666666668,black,Draw
318,34,914.0,18.884615384615383,1212,1.3666666666666667,white,Win
319,36,599.0,10.806451612903224,1217,1.9166666666666667,white,Win
320,-32,986.0,13.18837209302326,1277,1.8,black,Loss
321,32,241.0,6.077777777777777,1221,149.31666666666666,white,Win
